"","Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Quarter","Launch_Year","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Cache_Size","Cache_Type","Instruction_Set","TDP","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth"
"1626","Legacy","Desktop","i7-940","End of Interactive Support",4,2008,"45 nm","$555.00 ",4,8,2930,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1639","Legacy","Desktop","i7-920","End of Interactive Support",4,2008,"45 nm","$305.00 ",4,8,2660,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1805","Legacy","Desktop","i7-965","End of Interactive Support",4,2008,"45 nm","$990.00 ",4,8,3200,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1050","Legacy","Embedded","L5508","Launched",1,2009,"45 nm","$403.00 ",2,4,2000,9.01091334727929,"SmartCache","64-bit",38,144,"DDR3 800/1066 ",3,25.6
"1064","Legacy","Embedded","L5518","Launched",1,2009,"45 nm","$504.00 ",4,8,2130,9.01091334727929,"SmartCache","64-bit",60,144,"DDR3 800/1066 ",3,25.6
"989","Legacy","Server","E5502","Launched",1,2009,"45 nm","N/A",2,2,1860,8.31776616671934,"SmartCache","64-bit",80,144,"DDR3 800",3,19.2
"998","Legacy","Server","E5504","Launched",1,2009,"45 nm","$221.00 ",4,4,2000,8.31776616671934,"SmartCache","64-bit",80,144,"DDR3 800",3,19.2
"1003","Legacy","Server","E5506","Launched",1,2009,"45 nm","N/A",4,4,2130,8.31776616671934,"SmartCache","64-bit",80,144,"DDR3 800",3,19.2
"1016","Legacy","Server","E5520","Launched",1,2009,"45 nm","N/A",4,8,2260,9.01091334727929,"SmartCache","64-bit",80,144,"DDR3 800/1066 ",3,25.6
"1023","Legacy","Server","E5530","Launched",1,2009,"45 nm","N/A",4,8,2400,9.01091334727929,"SmartCache","64-bit",80,144,"DDR3 800/1066 ",3,25.6
"1031","Legacy","Server","E5540","Launched",1,2009,"45 nm","$940.00 ",4,8,2530,9.01091334727929,"SmartCache","64-bit",80,144,"DDR3 800/1066 ",3,25.6
"1038","Legacy","Server","L5506","Launched",1,2009,"45 nm","N/A",4,4,2130,8.31776616671934,"SmartCache","64-bit",60,144,"DDR3 800",3,19.2
"1079","Legacy","Server","L5520","Launched",1,2009,"45 nm","N/A",4,8,2260,9.01091334727929,"SmartCache","64-bit",60,144,"DDR3 800/1066 ",3,25.6
"1080","Legacy","Server","W3520","End of Life",1,2009,"45 nm","$305.00 ",4,8,2660,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
